id,title_english,title_romaji,genres,averageScore,format,popularity,title
1497,Tales of the Street Corner,Aru Machi Kado no Monogatari,Drama Fantasy Music Romance,62.0,MOVIE,2068,Tales of the Street Corner
1572,Kimba the White Lion,Jungle Taitei,Adventure,61.0,TV,2479,Kimba the White Lion
1982,Male,Osu,Slice of Life,46.0,MOVIE,1325,Male
1989,The Drop,Shizuku,Comedy,50.0,MOVIE,1009,The Drop
2047,Mermaid,Ningyo,Fantasy,57.0,MOVIE,1495,Mermaid
2686,Gigantor,Tetsujin 28-gou,Adventure Mecha Sci-Fi,58.0,TV,1471,Gigantor
2747,Astro Boy,Tetsuwan Atom,Action Adventure Drama Mecha Sci-Fi,65.0,TV,4121,Astro Boy
2765,"Momotaro, Sacred Sailors",Momotarou: Umi no Shinpei,Action,46.0,MOVIE,1214,"Momotaro, Sacred Sailors"
2833,Gulliver's Travels: Beyond the Moon,Gulliver no Uchuu Ryokou,Adventure Fantasy Sci-Fi,55.0,MOVIE,788,Gulliver's Travels: Beyond the Moon
3743,Murder,Satsujin MURDER,Mystery,46.0,MOVIE,723,Murder
3905,"Orochi, the Eight-Headed Dragon",Wanpaku Ouji no Orochi Taiji,Adventure,62.0,MOVIE,1761,"Orochi, the Eight-Headed Dragon"
4088,The Amazing 3,Wonder 3,Action Adventure Comedy Sci-Fi,66.0,TV,549,The Amazing 3
4481,Alakazam the Great,Saiyuuki,Adventure Fantasy,55.0,MOVIE,1574,Alakazam the Great
4513,Panda and the Magic Serpent,Hakujaden,Adventure Fantasy Romance,55.0,MOVIE,2466,Panda and the Magic Serpent
4948,Magic Boy,Shounen Sarutobi Sasuke,Adventure Fantasy,54.0,MOVIE,1052,Magic Boy
5052,8 Man,8 Man,Action Drama Mecha Sci-Fi,52.0,TV,851,8 Man
6448,Prince Planet,Yuusei Shounen Papii,Action Sci-Fi,44.0,TV,343,Prince Planet
6535,Love,Ai,Psychological Romance,36.0,MOVIE,1482,Love
6843,Baby Kangaroo's Birthday Surprise,Kangaroo no Tanjoubi,Adventure,45.0,MOVIE,591,Baby Kangaroo's Birthday Surprise
6847,Gulliver's Great Activities,Gulliver Funtouki,Adventure,43.0,MOVIE,490,Gulliver's Great Activities
6855,Uproar in Heaven,Danao Tiangong,Adventure,58.0,MOVIE,761,Uproar in Heaven
6953,Human Zoo,Ningen Doubutsuen,,24.0,MOVIE,1637,Human Zoo
6989,Space Ace,Uchuu Ace,Action Adventure Sci-Fi,42.0,TV,469,Space Ace
6994,Kitty's Studio,Koneko no Studio,Comedy,56.0,MOVIE,888,Kitty's Studio
7021,Nihiki no Sanma,Nihiki no Sanma,Comedy,41.0,MOVIE,462,Nihiki no Sanma
7532,The Black Woodcutter and the White Woodcutter,Kuroi Kikori to Shiroi Kikori,Fantasy,53.0,MOVIE,547,The Black Woodcutter and the White Woodcutter
7621,The Restaurant of Many Orders,Chuumon no Ooi Ryouriten,Supernatural,50.0,MOVIE,649,The Restaurant of Many Orders
7786,Arabian Nights: Sinbad's Adventures,Arabian Nights: Sindbad no Bouken,Action Adventure Fantasy,47.0,MOVIE,769,Arabian Nights: Sinbad's Adventures
8041,Hermit Village,Sennin Buraku,Comedy Ecchi,44.0,TV_SHORT,421,Hermit Village
9613,Big X,Big X,Action Sci-Fi,52.0,TV,621,Big X
9850,Korochan,Koguma no Koro-chan,,45.0,MOVIE,390,Korochan
10342,Astro Boy: The Brave in Space,Tetsuwan Atom: Uchuu no Yuusha,Action Adventure Drama Mecha Sci-Fi,58.0,MOVIE,664,Astro Boy: The Brave in Space
12603,Little Tiger and Bride,Tora-chan to Hanayome,,51.0,MOVIE,602,Little Tiger and Bride
16063,Fushigina Taiko,Fushigina Taiko,,37.0,MOVIE,192,Fushigina Taiko
19681,Hustle Punch,Hustle Punch,Comedy Fantasy,44.0,TV,349,Hustle Punch
101819,Here and There,Acchi wa Kocchi,,52.0,MOVIE,1381,Here and There
102091,The Big Top Crime,Kitsune to Circus,Comedy,39.0,MOVIE,294,The Big Top Crime
102526,Arichan the Ant,Ari-chan,Comedy Music,44.0,MOVIE,681,Arichan the Ant
